Category,State/ Union Teritorries,Salary Expenditure (Rs. crore) - 2007-08 - Actual,Salary Expenditure (Rs. crore) - 2008-09 - Actual,Salary Expenditure (Rs. crore) - 2009-10 - Actual,Salary Expenditure (Rs. crore) - 2010-11 - Actual,Salary Expenditure (Rs. crore) - 2011-12 - Actual,Salary Expenditure (Rs. crore) - 2012-13 - Pre-Actual,Salary Expenditure (Rs. crore) - 2013-14 - BE,Plan Expenditure (Rs. crore) - 2007-08 - Actual,Plan Expenditure (Rs. crore) - 2008-09 - Actual,Plan Expenditure (Rs. crore) - 2009-10 - Actual,Plan Expenditure (Rs. crore) - 2010-11 - Actual,Plan Expenditure (Rs. crore) - 2011-12 - Actual,Plan Expenditure (Rs. crore) - 2012-13 - Pre-Actual,Plan Expenditure (Rs. crore) - 2013-14 - BE,Salary Expenditure (As percentage of Plan Expenditure) - 2007-08 - Actual,Salary Expenditure (As percentage of Plan Expenditure) - 2008-09 - Actual,Salary Expenditure (As percentage of Plan Expenditure) - 2009-10 - Actual,Salary Expenditure (As percentage of Plan Expenditure) - 2010-11 - Actual,Salary Expenditure (As percentage of Plan Expenditure) - 2011-12 - Actual,Salary Expenditure (As percentage of Plan Expenditure) - 2012-13 - Pre-Actual,Salary Expenditure (As percentage of Plan Expenditure) - 2013-14 - BE
Special Category States (SCS),Arunachal Pradesh,415.9,842.67,1462.47,1395.47,1995.94,1759.12,2235.2,1616.79,2448.34,2342.83,2843.83,3595.27,2795.51,4875.86,25.72,34.42,62.42,49.07,55.52,62.93,45.84
Special Category States (SCS),Assam,5766.86,5415.29,6466.32,11590.62,9277.62,11988.56,12825.06,3538.2,5471.89,5382.92,6480.09,7218.1,9121.85,11198.1,162.99,98.97,120.13,178.87,128.53,131.43,114.53
Special Category States (SCS),Himachal Pradesh,3014.87,3314.89,3973.03,5166.39,5305.51,6129.73,6956.42,2524.65,2883.14,3199.46,3647.93,3942.83,4386.41,4294.73,119.42,114.97,124.18,141.63,134.56,139.74,161.98
Special Category States (SCS),Jammu and Kashmir,4475,5077.78,6022.81,7722,9904.25,10701,13811,4164.44,5006.14,6688.41,6639,6721.86,6527.55,8732.52,107.46,101.43,90.05,116.31,147.34,163.94,158.16
Special Category States (SCS),Manipur,890.17,1063.32,1148.89,1673.15,2210.1,2350.12,2627.33,1593.63,1954.59,2305.17,3019.18,2779.72,2560.89,4489.95,55.86,54.4,49.84,55.42,79.51,91.77,58.52
Special Category States (SCS),Meghalaya,940.77,1015.19,1492.66,1857.47,2179.43,2093.56,1987.24,1128.24,1579.48,1537.87,2068.25,2846.2,2609.46,5637.15,83.38,64.27,97.06,89.81,76.57,80.23,35.25
Special Category States (SCS),Mizoram,597.84,861.62,998.27,1304.34,1411.38,1651.21,1959.39,1142.94,1119.3,1367.95,1833.88,1753.44,2271.21,2500.22,52.31,76.98,72.98,71.12,80.49,72.7,78.37
Special Category States (SCS),Nagaland,1123.47,1254.32,1493.87,2036.36,2339.19,2590.74,2821.72,1296.97,1396.74,1568.55,2009.42,2069.39,3106.7,2732.77,86.62,89.8,95.24,101.34,113.04,83.39,103.25
Special Category States (SCS),Sikkim,492.91,576.44,968.76,1095.79,874.84,971.01,1097.3,835.26,1129.51,1257.86,1132.09,1413.31,1657.97,2550.11,59.01,51.03,77.02,96.79,61.9,58.57,43.03
Special Category States (SCS),Tripura,1299.65,1374.59,2006.71,2106.22,2156.09,2343.3,3073.66,1424.19,1795.73,2077.33,1887.29,2396.87,2688.59,3812.09,91.26,76.55,96.6,111.6,89.95,87.16,80.63
Special Category States (SCS),Uttarakhand,2302.28,3349.91,4811.21,4966.14,5511.88,6046.37,7404.18,4186.13,4192.4,3810.16,4367.29,4625.12,5511.09,8710.38,55,79.9,126.27,113.71,119.17,109.71,85
Special Category States (SCS),Sub Total - SCS,21319.72,24146.02,30845,40913.95,43166.23,48624.72,56798.5,23451.44,28977.26,31538.51,35928.25,39362.11,43237.23,59533.88,90.91,83.33,97.8,113.88,109.66,112.46,95.41
General Category States (GCS),Andhra Pradesh,13001.21,14277.28,17407.42,23439.87,26396.2,25771.46,32116.72,28987.43,32700.64,30910.26,34033.74,41973.1,43713.1,59422.48,44.85,43.66,56.32,68.87,62.89,58.96,54.05
