Category,State/ Union Teritorries,Salary Expenditure (Rs. Crore) - 2007-08 - Actual,Salary Expenditure (Rs. Crore) - 2008-09 - Actual,Salary Expenditure (Rs. Crore) - 2009-10 - Actual,Salary Expenditure (Rs. Crore) - 2010-11 - Actual,Salary Expenditure (Rs. Crore) - 2011-12 - Actual,Salary Expenditure (Rs. Crore) - 2012-13 - Pre-Actual,Salary Expenditure (Rs. Crore) - 2013-14 - BE,Revenue Expenditure (Net of Interest Payment and Pension) (Rs.Crore) - 2007-08 - Actual,Revenue Expenditure (Net of Interest Payment and Pension) (Rs.Crore) - 2008-09 - Actual,Revenue Expenditure (Net of Interest Payment and Pension) (Rs.Crore) - 2009-10 - Actual,Revenue Expenditure (Net of Interest Payment and Pension) (Rs.Crore) - 2010-11 - Actual,Revenue Expenditure (Net of Interest Payment and Pension) (Rs.Crore) - 2011-12 - Actual,Revenue Expenditure (Net of Interest Payment and Pension) (Rs.Crore) - 2012-13 - Pre-Actual,Revenue Expenditure (Net of Interest Payment and Pension) (Rs.Crore) - 2013-14 - BE,Salary Expenditure As Percentage of Revenue Expenditure(Net of IP and Pension) - 2007-08 - Actual,Salary Expenditure As Percentage of Revenue Expenditure(Net of IP and Pension) - 2008-09 - Actual,Salary Expenditure As Percentage of Revenue Expenditure(Net of IP and Pension) - 2009-10 - Actual,Salary Expenditure As Percentage of Revenue Expenditure(Net of IP and Pension) - 2010-11 - Actual,Salary Expenditure As Percentage of Revenue Expenditure(Net of IP and Pension) - 2011-12 - Actual,Salary Expenditure As Percentage of Revenue Expenditure(Net of IP and Pension) - 2012-13 - Pre-Actual,Salary Expenditure As Percentage of Revenue Expenditure(Net of IP and Pension) - 2013-14 - BE
Special Category States (SCS),Arunachal Pradesh,415.9,842.67,1462.47,1395.47,1995.94,1759.12,2235.2,2160.98,2664.51,3284.77,3122.05,3898.07,4187.52,3991.82,19.25,31.63,44.52,44.7,51.2,42.01,55.99
Special Category States (SCS),Assam,5766.86,5415.29,6466.32,11590.62,9277.62,11988.56,12825.06,9890.75,11235.2,14235.28,21977.32,24763.72,28652.37,27329.08,58.31,48.2,45.42,52.74,37.46,41.84,46.93
Special Category States (SCS),Himachal Pradesh,3014.87,3314.89,3973.03,5166.39,5305.51,6129.73,6956.42,5639.73,6390.64,7846.7,9890.89,9551.46,11057.51,12425.57,53.46,51.87,50.63,52.23,55.55,55.43,55.98
Special Category States (SCS),Jammu and Kashmir,4475,5077.78,6022.81,7722,9904.25,10701,13811,8561.24,9200.82,11617.05,13940.87,17100.8,18931.51,21760,52.27,55.19,51.84,55.39,57.92,56.52,63.47
Special Category States (SCS),Manipur,890.17,1063.32,1148.89,1673.15,2210.1,2350.12,2627.33,1788.27,2041.4,2399.04,3313.06,3981.32,4123.25,5399.98,49.78,52.09,47.89,50.5,55.51,57,48.65
Special Category States (SCS),Meghalaya,940.77,1015.19,1492.66,1857.47,2179.43,2093.56,1987.24,1929.98,2298.99,2740.53,3440.57,4173.36,4297.46,6643.96,48.75,44.16,54.47,53.99,52.22,48.72,29.91
Special Category States (SCS),Mizoram,597.84,861.62,998.27,1304.34,1411.38,1651.21,1959.39,1483.75,1805.47,2121.22,2701.36,3123.81,3850.24,4362.61,40.29,47.72,47.06,48.28,45.18,42.89,44.91
Special Category States (SCS),Nagaland,1123.47,1254.32,1493.87,2036.36,2339.19,2590.74,2821.72,2042.08,2346.59,2610.87,3457.54,3871.59,4584.91,5294.5,55.02,53.45,57.22,58.9,60.42,56.51,53.3
Special Category States (SCS),Sikkim,492.91,576.44,968.76,1095.79,874.84,971.01,1097.3,978.94,1178.46,1548.84,1665,2065.02,2083.3,2757.21,50.35,48.91,62.55,65.81,42.36,46.61,39.8
Special Category States (SCS),Tripura,1299.65,1374.59,2006.71,2106.22,2156.09,2343.3,3073.66,2082.57,2378.73,3245.39,3257.39,3585.94,3985.88,5445.39,62.41,57.79,61.83,64.66,60.13,58.79,56.45
