Category,State/ Union Teritorries,Salary Expenditure (Rs. crore) - 2007-08 - Actual,Salary Expenditure (Rs. crore) - 2008-09 - Actual,Salary Expenditure (Rs. crore) - 2009-10 - Actual,Salary Expenditure (Rs. crore) - 2010-11 - Actual,Salary Expenditure (Rs. crore) - 2011-12 - Actual,Salary Expenditure (Rs. crore) - 2012-13 - Pre-Actual,Salary Expenditure (Rs. crore) - 2013-14 - BE,Total Expenditure (Rs. crore) - 2007-08 - Actual,Total Expenditure (Rs. crore) - 2008-09 - Actual,Total Expenditure (Rs. crore) - 2009-10 - Actual,Total Expenditure (Rs. crore) - 2010-11 - Actual,Total Expenditure (Rs. crore) - 2011-12 - Actual,Total Expenditure (Rs. crore) - 2012-13 - Pre-Actual,Total Expenditure (Rs. crore) - 2013-14 - BE,Salary Expenditure (As percentage of Total Expenditure) - 2007-08 - Actual,Salary Expenditure (As percentage of Total Expenditure) - 2008-09 - Actual,Salary Expenditure (As percentage of Total Expenditure) - 2009-10 - Actual,Salary Expenditure (As percentage of Total Expenditure) - 2010-11 - Actual,Salary Expenditure (As percentage of Total Expenditure) - 2011-12 - Actual,Salary Expenditure (As percentage of Total Expenditure) - 2012-13 - Pre-Actual,Salary Expenditure (As percentage of Total Expenditure) - 2013-14 - BE
Special Category States (SCS),Arunachal Pradesh,415.9,842.67,1462.47,1395.47,1995.94,1759.12,2235.2,3185.28,4341.41,4931.35,5399.74,6458.23,5998.18,8016.17,13.06,19.41,29.66,25.84,30.91,29.33,27.88
Special Category States (SCS),Assam,5766.86,5415.29,6466.32,11590.62,9277.62,11988.56,12825.06,14575.2,16722.82,20565.72,29259.66,29792.86,33637.61,40936.72,39.57,32.38,31.44,39.61,31.14,35.64,31.33
Special Category States (SCS),Himachal Pradesh,3014.87,3314.89,3973.03,5166.39,5305.51,6129.73,6956.42,9719.19,11606.81,13164.12,15961.6,16200.78,18597.63,20408.99,31.02,28.56,30.18,32.37,32.75,32.96,34.09
Special Category States (SCS),Jammu and Kashmir,4475,5077.78,6022.81,7722,9904.25,10701,13811,15906.32,17011.68,21606.78,24601.98,28644.92,30434.65,36500,28.13,29.85,27.87,31.39,34.58,35.16,37.84
Special Category States (SCS),Manipur,890.17,1063.32,1148.89,1673.15,2210.1,2350.12,2627.33,3408.4,4090.16,4609.07,5999.86,6702.4,6821.4,9224.1,26.12,26,24.93,27.89,32.97,34.45,28.48
Special Category States (SCS),Meghalaya,940.77,1015.19,1492.66,1857.47,2179.43,2093.56,1987.24,2672.06,3263.99,3690.32,4629.12,5742.43,5954.88,9135.9,35.21,31.1,40.45,40.13,37.95,35.16,21.75
Special Category States (SCS),Mizoram,597.84,861.62,998.27,1304.34,1411.38,1651.21,1959.39,2339.26,2752.83,3333.08,3975.9,4367.14,5146.71,5753.55,25.56,31.3,29.95,32.81,32.32,32.08,34.06
Special Category States (SCS),Nagaland,1123.47,1254.32,1493.87,2036.36,2339.19,2590.74,2821.72,3483.16,3846.57,4520.13,5577.66,6477.62,8057.2,8071.45,32.25,32.61,33.05,36.51,36.11,32.15,34.96
Special Category States (SCS),Sikkim,492.91,576.44,968.76,1095.79,874.84,971.01,1097.3,1562.34,1992.58,2514.53,2468.73,3094.54,3354.84,4572.7,31.55,28.93,38.53,44.39,28.27,28.94,24
Special Category States (SCS),Tripura,1299.65,1374.59,2006.71,2106.22,2156.09,2343.3,3073.66,3717.62,4349.92,5563.57,5418.75,6220.38,6715,9038.66,34.96,31.6,36.07,38.87,34.66,34.9,34.01
